B19001_001E:Total:,B19013_001E:Median household income in the past 12 months (in 2021 inflation-adjusted dollars),state_fips,county_fips,tract_fips,year,source
1576,40472,42,003,424000,2021,ACS 2021
1607,44443,42,003,425000,2021,ACS 2021
2403,94337,42,003,426300,2021,ACS 2021
1975,77489,42,003,426400,2021,ACS 2021
1188,78900,42,003,426700,2021,ACS 2021
2079,89963,42,003,426800,2021,ACS 2021
1640,48512,42,003,427000,2021,ACS 2021
2315,89035,42,003,427100,2021,ACS 2021
2332,57857,42,003,427200,2021,ACS 2021
533,68882,42,003,428100,2021,ACS 2021
894,72438,42,003,428200,2021,ACS 2021
1204,64638,42,003,429100,2021,ACS 2021
1982,109063,42,003,429201,2021,ACS 2021
1871,104821,42,003,429202,2021,ACS 2021
2710,81709,42,003,429300,2021,ACS 2021
1858,82232,42,003,429400,2021,ACS 2021
2304,60536,42,003,429500,2021,ACS 2021
1601,71812,42,003,429600,2021,ACS 2021
1055,52847,42,003,429700,2021,ACS 2021
960,65240,42,003,430100,2021,ACS 2021
1809,75052,42,003,430200,2021,ACS 2021
1680,56250,42,003,431100,2021,ACS 2021
900,62899,42,003,431400,2021,ACS 2021
1757,49663,42,003,431500,2021,ACS 2021
1425,42742,42,003,432300,2021,ACS 2021
1288,52417,42,003,432400,2021,ACS 2021
771,92057,42,003,434000,2021,ACS 2021
1130,58500,42,003,435000,2021,ACS 2021
2487,128369,42,003,437000,2021,ACS 2021
545,133750,42,003,439000,2021,ACS 2021
1702,82672,42,003,445500,2021,ACS 2021
582,190000,42,003,446000,2021,ACS 2021
631,79777,42,003,447000,2021,ACS 2021
558,57917,42,003,448000,2021,ACS 2021
1103,76680,42,003,449000,2021,ACS 2021
1385,52117,42,003,450700,2021,ACS 2021
1138,53621,42,003,450800,2021,ACS 2021
1581,115015,42,003,451101,2021,ACS 2021
2179,74940,42,003,451102,2021,ACS 2021
1367,122604,42,003,451104,2021,ACS 2021
2204,79966,42,003,451105,2021,ACS 2021
2805,97813,42,003,451300,2021,ACS 2021
2754,84615,42,003,452000,2021,ACS 2021
747,77583,42,003,453003,2021,ACS 2021
3414,88447,42,003,453004,2021,ACS 2021
656,82031,42,003,455000,2021,ACS 2021
1630,120833,42,003,456001,2021,ACS 2021
2707,139036,42,003,456003,2021,ACS 2021
2398,87419,42,003,456004,2021,ACS 2021
679,58036,42,003,457100,2021,ACS 2021
1751,52194,42,003,457200,2021,ACS 2021
1958,106082,42,003,458001,2021,ACS 2021
2137,88514,42,003,458002,2021,ACS 2021
688,76172,42,003,459101,2021,ACS 2021
2421,106951,42,003,459102,2021,ACS 2021
3354,85361,42,003,459201,2021,ACS 2021
461,66806,42,003,459202,2021,ACS 2021
2112,68906,42,003,460001,2021,ACS 2021
1574,83406,42,003,460002,2021,ACS 2021
523,50592,42,003,461000,2021,ACS 2021
1150,53713,42,003,462100,2021,ACS 2021
