,place_name,population,state_fips,county_fips,tract_fips,year,source,GEOID
112,"Census Tract 362.01, Philadelphia County, Pennsylvania",5153,42,101,36201,2019,ACS 2019,42101036201
113,"Census Tract 362.02, Philadelphia County, Pennsylvania",6239,42,101,36202,2019,ACS 2019,42101036202
114,"Census Tract 106, Philadelphia County, Pennsylvania",1704,42,101,10600,2019,ACS 2019,42101010600
115,"Census Tract 244, Philadelphia County, Pennsylvania",3230,42,101,24400,2019,ACS 2019,42101024400
116,"Census Tract 246, Philadelphia County, Pennsylvania",2684,42,101,24600,2019,ACS 2019,42101024600
117,"Census Tract 249, Philadelphia County, Pennsylvania",2737,42,101,24900,2019,ACS 2019,42101024900
118,"Census Tract 258, Philadelphia County, Pennsylvania",1778,42,101,25800,2019,ACS 2019,42101025800
119,"Census Tract 265, Philadelphia County, Pennsylvania",5065,42,101,26500,2019,ACS 2019,42101026500
120,"Census Tract 267, Philadelphia County, Pennsylvania",6987,42,101,26700,2019,ACS 2019,42101026700
121,"Census Tract 268, Philadelphia County, Pennsylvania",4189,42,101,26800,2019,ACS 2019,42101026800
122,"Census Tract 319, Philadelphia County, Pennsylvania",5641,42,101,31900,2019,ACS 2019,42101031900
123,"Census Tract 330, Philadelphia County, Pennsylvania",8394,42,101,33000,2019,ACS 2019,42101033000
124,"Census Tract 340, Philadelphia County, Pennsylvania",3082,42,101,34000,2019,ACS 2019,42101034000
125,"Census Tract 346, Philadelphia County, Pennsylvania",2496,42,101,34600,2019,ACS 2019,42101034600
126,"Census Tract 348.01, Philadelphia County, Pennsylvania",4600,42,101,34801,2019,ACS 2019,42101034801
127,"Census Tract 61, Philadelphia County, Pennsylvania",2759,42,101,6100,2019,ACS 2019,42101006100
128,"Census Tract 84, Philadelphia County, Pennsylvania",5050,42,101,8400,2019,ACS 2019,42101008400
129,"Census Tract 90, Philadelphia County, Pennsylvania",6201,42,101,9000,2019,ACS 2019,42101009000
130,"Census Tract 102, Philadelphia County, Pennsylvania",3344,42,101,10200,2019,ACS 2019,42101010200
131,"Census Tract 109, Philadelphia County, Pennsylvania",2790,42,101,10900,2019,ACS 2019,42101010900
132,"Census Tract 142, Philadelphia County, Pennsylvania",5198,42,101,14200,2019,ACS 2019,42101014200
133,"Census Tract 201.02, Carbon County, Pennsylvania",4641,42,25,20102,2019,ACS 2019,42025020102
134,"Census Tract 2019.01, Montgomery County, Pennsylvania",4822,42,91,201901,2019,ACS 2019,42091201901
135,"Census Tract 2009.01, Montgomery County, Pennsylvania",4217,42,91,200901,2019,ACS 2019,42091200901
136,"Census Tract 2001.03, Montgomery County, Pennsylvania",4015,42,91,200103,2019,ACS 2019,42091200103
137,"Census Tract 2089.01, Montgomery County, Pennsylvania",3658,42,91,208901,2019,ACS 2019,42091208901
138,"Census Tract 2040.10, Montgomery County, Pennsylvania",2651,42,91,204010,2019,ACS 2019,42091204010
139,"Census Tract 2063, Montgomery County, Pennsylvania",5152,42,91,206300,2019,ACS 2019,42091206300
140,"Census Tract 2079, Montgomery County, Pennsylvania",2484,42,91,207900,2019,ACS 2019,42091207900
141,"Census Tract 4801.02, Allegheny County, Pennsylvania",2878,42,3,480102,2019,ACS 2019,42003480102
142,"Census Tract 4845, Allegheny County, Pennsylvania",6012,42,3,484500,2019,ACS 2019,42003484500
143,"Census Tract 103, Allegheny County, Pennsylvania",6652,42,3,10300,2019,ACS 2019,42003010300
144,"Census Tract 201, Allegheny County, Pennsylvania",5490,42,3,20100,2019,ACS 2019,42003020100
145,"Census Tract 402, Allegheny County, Pennsylvania",1576,42,3,40200,2019,ACS 2019,42003040200
146,"Census Tract 406, Allegheny County, Pennsylvania",2212,42,3,40600,2019,ACS 2019,42003040600
147,"Census Tract 1016, Allegheny County, Pennsylvania",1043,42,3,101600,2019,ACS 2019,42003101600
148,"Census Tract 1302, Allegheny County, Pennsylvania",1422,42,3,130200,2019,ACS 2019,42003130200
149,"Census Tract 1405, Allegheny County, Pennsylvania",1915,42,3,140500,2019,ACS 2019,42003140500
150,"Census Tract 1413, Allegheny County, Pennsylvania",5126,42,3,141300,2019,ACS 2019,42003141300
151,"Census Tract 1414, Allegheny County, Pennsylvania",5143,42,3,141400,2019,ACS 2019,42003141400
152,"Census Tract 1903, Allegheny County, Pennsylvania",1804,42,3,190300,2019,ACS 2019,42003190300
153,"Census Tract 5220, Allegheny County, Pennsylvania",3195,42,3,522000,2019,ACS 2019,42003522000
154,"Census Tract 5235.01, Allegheny County, Pennsylvania",4287,42,3,523501,2019,ACS 2019,42003523501
155,"Census Tract 5513, Allegheny County, Pennsylvania",2622,42,3,551300,2019,ACS 2019,42003551300
156,"Census Tract 5519, Allegheny County, Pennsylvania",1474,42,3,551900,2019,ACS 2019,42003551900
157,"Census Tract 5524, Allegheny County, Pennsylvania",3383,42,3,552400,2019,ACS 2019,42003552400
158,"Census Tract 5615, Allegheny County, Pennsylvania",2696,42,3,561500,2019,ACS 2019,42003561500
159,"Census Tract 1208, Allegheny County, Pennsylvania",836,42,3,120800,2019,ACS 2019,42003120800
160,"Census Tract 1402, Allegheny County, Pennsylvania",2523,42,3,140200,2019,ACS 2019,42003140200
161,"Census Tract 1404, Allegheny County, Pennsylvania",2319,42,3,140400,2019,ACS 2019,42003140400
162,"Census Tract 2815, Allegheny County, Pennsylvania",1426,42,3,281500,2019,ACS 2019,42003281500
163,"Census Tract 3102, Allegheny County, Pennsylvania",3213,42,3,310200,2019,ACS 2019,42003310200
164,"Census Tract 4011, Allegheny County, Pennsylvania",4713,42,3,401100,2019,ACS 2019,42003401100
165,"Census Tract 4132.02, Allegheny County, Pennsylvania",2760,42,3,413202,2019,ACS 2019,42003413202
166,"Census Tract 4142, Allegheny County, Pennsylvania",5811,42,3,414200,2019,ACS 2019,42003414200
167,"Census Tract 4270, Allegheny County, Pennsylvania",3706,42,3,427000,2019,ACS 2019,42003427000
168,"Census Tract 4314, Allegheny County, Pennsylvania",1854,42,3,431400,2019,ACS 2019,42003431400
169,"Census Tract 4350, Allegheny County, Pennsylvania",2503,42,3,435000,2019,ACS 2019,42003435000
170,"Census Tract 4370, Allegheny County, Pennsylvania",6565,42,3,437000,2019,ACS 2019,42003437000
171,"Census Tract 4591.02, Allegheny County, Pennsylvania",5992,42,3,459102,2019,ACS 2019,42003459102
172,"Census Tract 105, Northampton County, Pennsylvania",4242,42,95,10500,2019,ACS 2019,42095010500
173,"Census Tract 147, Northampton County, Pennsylvania",2942,42,95,14700,2019,ACS 2019,42095014700
174,"Census Tract 238, Philadelphia County, Pennsylvania",4633,42,101,23800,2019,ACS 2019,42101023800
175,"Census Tract 252, Philadelphia County, Pennsylvania",7793,42,101,25200,2019,ACS 2019,42101025200
176,"Census Tract 262, Philadelphia County, Pennsylvania",3791,42,101,26200,2019,ACS 2019,42101026200
177,"Census Tract 273, Philadelphia County, Pennsylvania",6019,42,101,27300,2019,ACS 2019,42101027300
178,"Census Tract 284, Philadelphia County, Pennsylvania",3873,42,101,28400,2019,ACS 2019,42101028400
179,"Census Tract 286, Philadelphia County, Pennsylvania",6583,42,101,28600,2019,ACS 2019,42101028600
180,"Census Tract 1, Philadelphia County, Pennsylvania",4118,42,101,100,2019,ACS 2019,42101000100
181,"Census Tract 13, Philadelphia County, Pennsylvania",6911,42,101,1300,2019,ACS 2019,42101001300
182,"Census Tract 307, Philadelphia County, Pennsylvania",4238,42,101,30700,2019,ACS 2019,42101030700
183,"Census Tract 312, Philadelphia County, Pennsylvania",5032,42,101,31200,2019,ACS 2019,42101031200
184,"Census Tract 231, Philadelphia County, Pennsylvania",1275,42,101,23100,2019,ACS 2019,42101023100
185,"Census Tract 235, Philadelphia County, Pennsylvania",1300,42,101,23500,2019,ACS 2019,42101023500
186,"Census Tract 19, Philadelphia County, Pennsylvania",4039,42,101,1900,2019,ACS 2019,42101001900
187,"Census Tract 1115, Crawford County, Pennsylvania",5144,42,39,111500,2019,ACS 2019,42039111500
188,"Census Tract 1116, Crawford County, Pennsylvania",3469,42,39,111600,2019,ACS 2019,42039111600
189,"Census Tract 1113, Crawford County, Pennsylvania",5469,42,39,111300,2019,ACS 2019,42039111300
190,"Census Tract 1112, Crawford County, Pennsylvania",2440,42,39,111200,2019,ACS 2019,42039111200
191,"Census Tract 1114, Crawford County, Pennsylvania",4658,42,39,111400,2019,ACS 2019,42039111400
192,"Census Tract 1119, Crawford County, Pennsylvania",3358,42,39,111900,2019,ACS 2019,42039111900
193,"Census Tract 1104, Crawford County, Pennsylvania",2775,42,39,110400,2019,ACS 2019,42039110400
194,"Census Tract 1106, Crawford County, Pennsylvania",2852,42,39,110600,2019,ACS 2019,42039110600
195,"Census Tract 1118, Crawford County, Pennsylvania",5423,42,39,111800,2019,ACS 2019,42039111800
196,"Census Tract 1107, Crawford County, Pennsylvania",4013,42,39,110700,2019,ACS 2019,42039110700
197,"Census Tract 1004, Lackawanna County, Pennsylvania",2143,42,69,100400,2019,ACS 2019,42069100400
198,"Census Tract 1005, Lackawanna County, Pennsylvania",2059,42,69,100500,2019,ACS 2019,42069100500
199,"Census Tract 1016, Lackawanna County, Pennsylvania",2391,42,69,101600,2019,ACS 2019,42069101600
200,"Census Tract 1017, Lackawanna County, Pennsylvania",2794,42,69,101700,2019,ACS 2019,42069101700
201,"Census Tract 1019, Lackawanna County, Pennsylvania",1414,42,69,101900,2019,ACS 2019,42069101900
202,"Census Tract 1023, Lackawanna County, Pennsylvania",3582,42,69,102300,2019,ACS 2019,42069102300
203,"Census Tract 1025, Lackawanna County, Pennsylvania",3097,42,69,102500,2019,ACS 2019,42069102500
204,"Census Tract 1030, Lackawanna County, Pennsylvania",1928,42,69,103000,2019,ACS 2019,42069103000
205,"Census Tract 1103, Lackawanna County, Pennsylvania",3887,42,69,110300,2019,ACS 2019,42069110300
206,"Census Tract 1104.03, Lackawanna County, Pennsylvania",3151,42,69,110403,2019,ACS 2019,42069110403
207,"Census Tract 1120, Lackawanna County, Pennsylvania",4191,42,69,112000,2019,ACS 2019,42069112000
208,"Census Tract 1010, Lackawanna County, Pennsylvania",3068,42,69,101000,2019,ACS 2019,42069101000
209,"Census Tract 1104.02, Lackawanna County, Pennsylvania",2641,42,69,110402,2019,ACS 2019,42069110402
210,"Census Tract 1109, Lackawanna County, Pennsylvania",3001,42,69,110900,2019,ACS 2019,42069110900
211,"Census Tract 1110, Lackawanna County, Pennsylvania",2080,42,69,111000,2019,ACS 2019,42069111000
212,"Census Tract 1127, Lackawanna County, Pennsylvania",2964,42,69,112700,2019,ACS 2019,42069112700
213,"Census Tract 1111, Lackawanna County, Pennsylvania",6988,42,69,111100,2019,ACS 2019,42069111100
214,"Census Tract 1116, Lackawanna County, Pennsylvania",2638,42,69,111600,2019,ACS 2019,42069111600
215,"Census Tract 279.01, Philadelphia County, Pennsylvania",4201,42,101,27901,2019,ACS 2019,42101027901
216,"Census Tract 279.02, Philadelphia County, Pennsylvania",4075,42,101,27902,2019,ACS 2019,42101027902
217,"Census Tract 105.02, Lancaster County, Pennsylvania",7468,42,71,10502,2019,ACS 2019,42071010502
218,"Census Tract 309, Mercer County, Pennsylvania",2840,42,85,30900,2019,ACS 2019,42085030900
219,"Census Tract 317, Mercer County, Pennsylvania",2404,42,85,31700,2019,ACS 2019,42085031700
220,"Census Tract 325.01, Mercer County, Pennsylvania",5863,42,85,32501,2019,ACS 2019,42085032501
221,"Census Tract 303, Mercer County, Pennsylvania",3425,42,85,30300,2019,ACS 2019,42085030300
222,"Census Tract 327.02, Mercer County, Pennsylvania",2570,42,85,32702,2019,ACS 2019,42085032702
223,"Census Tract 703, Snyder County, Pennsylvania",5843,42,109,70300,2019,ACS 2019,42109070300
224,"Census Tract 706, Snyder County, Pennsylvania",5341,42,109,70600,2019,ACS 2019,42109070600
225,"Census Tract 707.01, Snyder County, Pennsylvania",3956,42,109,70701,2019,ACS 2019,42109070701
226,"Census Tract 9807.05, Snyder County, Pennsylvania",1971,42,109,980705,2019,ACS 2019,42109980705
227,"Census Tract 9501, Tioga County, Pennsylvania",4155,42,117,950100,2019,ACS 2019,42117950100
228,"Census Tract 9502, Tioga County, Pennsylvania",3528,42,117,950200,2019,ACS 2019,42117950200
229,"Census Tract 219.01, Somerset County, Pennsylvania",2093,42,111,21901,2019,ACS 2019,42111021901
230,"Census Tract 219.02, Somerset County, Pennsylvania",1982,42,111,21902,2019,ACS 2019,42111021902
231,"Census Tract 9601, Sullivan County, Pennsylvania",3458,42,113,960100,2019,ACS 2019,42113960100
232,"Census Tract 9602, Sullivan County, Pennsylvania",2677,42,113,960200,2019,ACS 2019,42113960200
233,"Census Tract 9503, Tioga County, Pennsylvania",3882,42,117,950300,2019,ACS 2019,42117950300
234,"Census Tract 9504, Tioga County, Pennsylvania",3820,42,117,950400,2019,ACS 2019,42117950400
235,"Census Tract 9505, Tioga County, Pennsylvania",4295,42,117,950500,2019,ACS 2019,42117950500
236,"Census Tract 9506, Tioga County, Pennsylvania",5141,42,117,950600,2019,ACS 2019,42117950600
237,"Census Tract 9507, Tioga County, Pennsylvania",6070,42,117,950700,2019,ACS 2019,42117950700
238,"Census Tract 9508, Tioga County, Pennsylvania",3256,42,117,950800,2019,ACS 2019,42117950800
239,"Census Tract 9509, Tioga County, Pennsylvania",3777,42,117,950900,2019,ACS 2019,42117950900
240,"Census Tract 9510, Tioga County, Pennsylvania",3020,42,117,951000,2019,ACS 2019,42117951000
241,"Census Tract 901.02, Union County, Pennsylvania",5755,42,119,90102,2019,ACS 2019,42119090102
242,"Census Tract 902, Union County, Pennsylvania",6671,42,119,90200,2019,ACS 2019,42119090200
243,"Census Tract 903, Union County, Pennsylvania",3629,42,119,90300,2019,ACS 2019,42119090300
244,"Census Tract 904, Union County, Pennsylvania",4051,42,119,90400,2019,ACS 2019,42119090400
245,"Census Tract 905.02, Union County, Pennsylvania",7386,42,119,90502,2019,ACS 2019,42119090502
246,"Census Tract 2141, Luzerne County, Pennsylvania",2410,42,79,214100,2019,ACS 2019,42079214100
247,"Census Tract 2150, Luzerne County, Pennsylvania",1621,42,79,215000,2019,ACS 2019,42079215000
248,"Census Tract 2151, Luzerne County, Pennsylvania",2731,42,79,215100,2019,ACS 2019,42079215100
249,"Census Tract 2157.02, Luzerne County, Pennsylvania",2104,42,79,215702,2019,ACS 2019,42079215702
250,"Census Tract 2167, Luzerne County, Pennsylvania",3440,42,79,216700,2019,ACS 2019,42079216700
251,"Census Tract 2171, Luzerne County, Pennsylvania",3010,42,79,217100,2019,ACS 2019,42079217100
252,"Census Tract 2153, Luzerne County, Pennsylvania",3900,42,79,215300,2019,ACS 2019,42079215300
253,"Census Tract 2161, Luzerne County, Pennsylvania",4208,42,79,216100,2019,ACS 2019,42079216100
254,"Census Tract 2155.02, Luzerne County, Pennsylvania",5622,42,79,215502,2019,ACS 2019,42079215502
255,"Census Tract 2157.01, Luzerne County, Pennsylvania",2454,42,79,215701,2019,ACS 2019,42079215701
256,"Census Tract 2160, Luzerne County, Pennsylvania",614,42,79,216000,2019,ACS 2019,42079216000
257,"Census Tract 2164, Luzerne County, Pennsylvania",1749,42,79,216400,2019,ACS 2019,42079216400
258,"Census Tract 2165.01, Luzerne County, Pennsylvania",2072,42,79,216501,2019,ACS 2019,42079216501
259,"Census Tract 2172, Luzerne County, Pennsylvania",3266,42,79,217200,2019,ACS 2019,42079217200
260,"Census Tract 315.01, Philadelphia County, Pennsylvania",6643,42,101,31501,2019,ACS 2019,42101031501
261,"Census Tract 315.02, Philadelphia County, Pennsylvania",4337,42,101,31502,2019,ACS 2019,42101031502
262,"Census Tract 331.01, Philadelphia County, Pennsylvania",5064,42,101,33101,2019,ACS 2019,42101033101
263,"Census Tract 331.02, Philadelphia County, Pennsylvania",4048,42,101,33102,2019,ACS 2019,42101033102
264,"Census Tract 337.01, Philadelphia County, Pennsylvania",6589,42,101,33701,2019,ACS 2019,42101033701
265,"Census Tract 337.02, Philadelphia County, Pennsylvania",4860,42,101,33702,2019,ACS 2019,42101033702
266,"Census Tract 345.01, Philadelphia County, Pennsylvania",4243,42,101,34501,2019,ACS 2019,42101034501
267,"Census Tract 345.02, Philadelphia County, Pennsylvania",5672,42,101,34502,2019,ACS 2019,42101034502
